City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Juegang,CN,2022-08-01 07:25:36,32.3174,121.1855,87.58,70,52,4.05,broken clouds
140,Hokitika,NZ,2022-08-01 07:25:36,-42.7167,170.9667,46.49,80,92,4.94,overcast clouds
141,Lompoc,US,2022-08-01 07:25:36,34.6391,-120.4579,72.01,80,0,5.75,clear sky
142,Vicuna,CL,2022-08-01 07:25:37,-30.0319,-70.7081,42.53,54,63,1.05,broken clouds
143,Smithers,CA,2022-08-01 07:25:37,54.7804,-127.1743,68.32,60,100,8.05,overcast clouds
144,Kavieng,PG,2022-08-01 07:23:13,-2.5744,150.7967,84.18,74,100,17.05,overcast clouds
145,Fare,PF,2022-08-01 07:25:38,-16.7,-151.0167,78.44,69,63,27.13,broken clouds
146,Yarada,IN,2022-08-01 07:25:38,17.65,83.2667,93.52,59,40,9.22,scattered clouds
147,Dubbo,AU,2022-08-01 07:25:38,-32.25,148.6167,57.33,54,0,6.91,clear sky
148,Sri Aman,MY,2022-08-01 07:25:39,1.2376,111.4621,91.45,62,40,0.0,light rain
149,Gazli,UZ,2022-08-01 07:25:39,40.1333,63.45,93.16,20,85,11.81,overcast clouds
150,Port Lincoln,AU,2022-08-01 07:25:39,-34.7333,135.8667,57.45,71,29,16.93,scattered clouds
151,Ouesso,CG,2022-08-01 07:22:15,1.6136,16.0517,76.71,68,34,4.79,scattered clouds
152,Alim,PH,2022-08-01 07:25:40,9.5649,122.4876,83.32,75,100,6.13,heavy intensity rain
153,Fort Nelson,CA,2022-08-01 07:25:40,58.8053,-122.7002,60.39,88,75,3.44,light intensity shower rain
154,Husavik,IS,2022-08-01 07:25:41,66.0449,-17.3389,41.92,96,100,11.74,overcast clouds
155,Lagoa,PT,2022-08-01 07:25:41,39.05,-27.9833,72.28,74,0,7.72,clear sky
156,Luganville,VU,2022-08-01 07:25:42,-15.5333,167.1667,77.45,86,9,7.9,clear sky
157,Nalut,LY,2022-08-01 07:25:42,30.3333,10.85,84.13,34,2,8.37,clear sky
158,Lamont,US,2022-08-01 07:25:42,35.2597,-118.9143,89.08,34,62,1.5,broken clouds
159,Singaraja,ID,2022-08-01 07:25:43,-8.112,115.0882,82.94,72,99,5.39,overcast clouds
160,Ponta Do Sol,PT,2022-08-01 07:25:43,32.6667,-17.1,70.72,73,4,4.85,clear sky
161,Faya,SA,2022-08-01 07:25:44,18.3851,42.4509,78.91,58,37,7.31,scattered clouds
162,Pandan,PH,2022-08-01 07:25:44,14.0453,124.1694,83.43,79,100,5.5,overcast clouds
163,Sabya,SA,2022-08-01 07:25:45,17.1495,42.6254,96.42,50,59,5.68,broken clouds
164,Hilo,US,2022-08-01 07:25:05,19.7297,-155.09,74.93,83,20,8.05,few clouds
165,Barrow,US,2022-08-01 07:25:45,71.2906,-156.7887,38.59,83,6,10.4,clear sky
166,Devonport,AU,2022-08-01 07:25:46,-41.1667,146.35,52.09,79,53,19.93,broken clouds
167,Hasaki,JP,2022-08-01 07:25:46,35.7333,140.8333,102.29,76,100,11.61,overcast clouds
168,Bremerton,US,2022-08-01 07:23:30,47.5673,-122.6326,76.46,77,0,0.0,clear sky
169,Avera,US,2022-08-01 07:25:47,33.194,-82.5271,74.71,59,12,3.87,few clouds
170,Alice Springs,AU,2022-08-01 07:25:20,-23.7,133.8833,72.95,21,47,10.36,scattered clouds
171,Kruisfontein,ZA,2022-08-01 07:25:47,-34.0033,24.7314,51.39,63,0,3.15,clear sky
172,Moree,AU,2022-08-01 07:25:48,-29.4667,149.85,55.83,91,88,5.3,overcast clouds
173,Solnechnyy,RU,2022-08-01 07:25:48,50.7214,136.6319,79.72,68,94,8.25,light rain
174,Araouane,ML,2022-08-01 07:25:48,18.9048,-3.5265,89.85,39,83,10.51,broken clouds
175,Boden,SE,2022-08-01 07:25:49,65.8252,21.6886,59.0,74,96,5.21,overcast clouds
176,Utete,TZ,2022-08-01 07:25:49,-7.986,38.758,81.77,55,27,4.45,scattered clouds
177,Kuytun,RU,2022-08-01 07:25:50,54.3419,101.5036,79.65,49,31,1.16,scattered clouds
178,Praia Da Vitoria,PT,2022-08-01 07:25:50,38.7333,-27.0667,70.75,94,20,4.29,few clouds
179,Isangel,VU,2022-08-01 07:26:50,-19.55,169.2667,74.44,86,41,14.99,scattered clouds
180,Airai,TL,2022-08-01 07:26:51,-8.9266,125.4092,67.39,70,100,3.02,overcast clouds
181,Vila Velha,BR,2022-08-01 07:26:27,-20.3297,-40.2925,67.95,88,75,3.44,broken clouds
182,Twentynine Palms,US,2022-08-01 07:26:51,34.1356,-116.0542,85.05,65,14,3.33,few clouds
183,Iqaluit,CA,2022-08-01 07:26:52,63.7506,-68.5145,46.13,87,40,0.0,scattered clouds
184,Bambous Virieux,MU,2022-08-01 07:26:52,-20.3428,57.7575,75.45,69,75,16.11,light rain
185,San Joaquin,US,2022-08-01 07:26:52,37.9333,-121.3011,75.11,61,0,4.61,clear sky
186,Lima,PE,2022-08-01 07:25:06,-12.0432,-77.0282,57.9,88,100,2.3,overcast clouds
187,Quang Ngai,VN,2022-08-01 07:22:05,15.1167,108.8,92.32,52,100,10.89,overcast clouds
188,Havoysund,NO,2022-08-01 07:26:53,70.9963,24.6622,61.03,83,32,5.53,scattered clouds
189,Chuy,UY,2022-08-01 07:26:54,-33.6971,-53.4616,46.67,92,0,2.26,clear sky
190,Ust-Barguzin,RU,2022-08-01 07:26:54,53.45,108.9833,64.8,76,96,5.14,overcast clouds
191,Pauini,BR,2022-08-01 07:26:54,-7.7136,-66.9764,75.94,71,98,0.96,overcast clouds
192,Mersing,MY,2022-08-01 07:26:55,2.4312,103.8405,89.51,74,40,11.5,scattered clouds
193,Yenotayevka,RU,2022-08-01 07:26:55,47.2456,47.0281,87.26,35,0,3.51,clear sky
194,Loandjili,CG,2022-08-01 07:26:56,-4.7561,11.8578,71.71,88,75,8.05,broken clouds
195,Alyangula,AU,2022-08-01 07:26:56,-13.8483,136.4192,77.5,69,100,6.49,overcast clouds
