City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
368,Touros,BR,75.54,few clouds,-5.1989,-35.4608,INN NEW HORIZON
374,Bentiu,SS,76.15,light rain,9.2333,29.8333,Mandela hôtel
375,Severnyy,RU,75.24,clear sky,50.677,36.5532,Full House North Mini-Hotel
376,Tezu,IN,80.06,overcast clouds,27.9167,96.1667,Circuit House
379,Meadow Lake,US,75.11,few clouds,34.8014,-106.5436,TumbleWeed RV Park
381,Nago,JP,85.05,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
382,Portland,US,79.48,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
388,Shasta Lake,US,81.32,overcast clouds,40.6804,-122.3708,Shasta Dam Motel
389,Ocos,GT,77.18,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
393,Diaz,PH,82.26,overcast clouds,15.8463,120.8347,Ocampo's Resort
395,China,MX,79.12,clear sky,25.7,-99.2333,González Reyes Artemio
400,Nata,PA,75.25,overcast clouds,8.3333,-80.5167,Rey David
406,Axim,GH,75.15,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
408,Lorengau,PG,81.52,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
410,Garowe,SO,87.46,few clouds,8.4054,48.4845,Curubo Hotel
411,Samandag,TR,88.32,scattered clouds,36.0842,35.9771,Anadolu Palace Hotel
413,Mineral Wells,US,87.66,clear sky,32.8085,-98.1128,The Baker Hotel and Spa
427,Buchanan,LR,75.88,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
429,Labuhan,ID,85.5,overcast clouds,-6.8844,112.2051,DoubleFAG
430,Vilyuysk,RU,80.02,overcast clouds,63.7553,121.6247,Gostinitsa Viliuisk
433,Kulhudhuffushi,MV,81.55,moderate rain,6.6221,73.07,Haajy Guest House 1
438,Annau,TM,78.3,light intensity shower rain,37.8876,58.516,"Гостиница ""Уссат инженер"""
443,Sechelt,CA,75.2,few clouds,49.4664,-123.7694,The Driftwood Inn
444,Alexandria,EG,85.96,scattered clouds,31.2156,29.9553,Royal Crown Hotel
447,Pamfila,GR,84.09,clear sky,39.1567,26.5217,GOLDEN SUN ROOMS
448,Pontian Kecil,MY,88.12,light rain,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
449,Saint Pete Beach,US,83.28,clear sky,27.7253,-82.7412,Sirata Beach Resort
453,Las Vegas,US,83.08,clear sky,36.175,-115.1372,Plaza Hotel & Casino
455,Lander,US,75.6,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
456,Inyonga,TZ,77.94,broken clouds,-6.7167,32.0667,Eden Rock Lodge
458,Kloulklubed,PW,75.7,heavy intensity rain,7.0419,134.2556,Storyboard Beach Resort
464,Yatou,CN,81.68,scattered clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
465,Petatlan,MX,77.59,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
467,West Richland,US,88.3,clear sky,46.3043,-119.3614,Horn Rapids RV Resort
474,Panacan,PH,81.82,overcast clouds,9.2463,118.4082,Mom's Place Resort
480,Santa Rosa,PH,87.12,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
481,Nantucket,US,75.99,broken clouds,41.2835,-70.0995,Jared Coffin House
483,Kalmunai,LK,86.65,overcast clouds,7.4167,81.8167,VS Villa
484,Kismayo,SO,78.51,broken clouds,-0.3582,42.5454,Agan-Hotel
486,Nampa,US,85.03,clear sky,43.5407,-116.5635,Nampa Downtown
496,Xuddur,SO,86.31,clear sky,4.1213,43.8894,Banjanay Hotel
498,Umm Lajj,SA,89.87,few clouds,25.0213,37.2685,Moon light Furnished Units
501,Povoa De Varzim,PT,83.16,clear sky,41.3834,-8.7636,Grande Hotel da Póvoa
505,Porbandar,IN,85.98,haze,21.6422,69.6093,Lords Inn Porbandar
507,Simao,CN,78.76,overcast clouds,22.7886,100.9748,Changyu Hotel
508,Karaman,TR,82.56,clear sky,37.0833,33.25,Gokce Koyu Muhtarligi
511,Lenger,KZ,83.64,clear sky,42.183,69.8839,Gostevoy Dom 1
512,Kerema,PG,78.62,broken clouds,-7.9631,145.7785,Frena Lodge
513,Chernyshevskiy,RU,78.08,few clouds,63.0128,112.4714,Chernyseyskiy
518,Vieques,PR,82.44,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
519,Khoy,IR,87.89,clear sky,38.5504,44.9535,ترک سل
522,Thenzawl,IN,79.0,overcast clouds,23.3167,92.75,Grace Indane Gramin Vitrak Godown
523,Poso,ID,78.87,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
524,Xifeng,CN,86.59,scattered clouds,42.7372,124.7222,Home Inn Hotel
525,Mahon,ES,84.76,clear sky,39.8885,4.2658,ARTIEM Capri
526,Katsuura,JP,84.18,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
